I, [2020-05-25T16:04:35.100929 #14527]  INFO -- Kitchen: -----> Starting Kitchen (v1.16.0)
E, [2020-05-25T16:04:35.101772 #14527] ERROR -- Kitchen: ------Exception-------
E, [2020-05-25T16:04:35.101807 #14527] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2020-05-25T16:04:35.101826 #14527] ERROR -- Kitchen: Message: Kitchen YAML file /root/apache-configuration-ci/.kitchen.yml does not exist.
E, [2020-05-25T16:04:35.101841 #14527] ERROR -- Kitchen: ----------------------
E, [2020-05-25T16:04:35.101854 #14527] ERROR -- Kitchen: ------Backtrace-------
E, [2020-05-25T16:04:35.101867 #14527] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/loader/yaml.rb:71:in `read'
E, [2020-05-25T16:04:35.101880 #14527] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:152:in `data'
E, [2020-05-25T16:04:35.101894 #14527] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:131:in `suites'
E, [2020-05-25T16:04:35.101907 #14527] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:182:in `filter_instances'
E, [2020-05-25T16:04:35.101934 #14527] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:141:in `build_instances'
E, [2020-05-25T16:04:35.101949 #14527] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/config.rb:117:in `instances'
E, [2020-05-25T16:04:35.101962 #14527] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2020-05-25T16:04:35.101978 #14527] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2020-05-25T16:04:35.101992 #14527] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/command/action.rb:35:in `block in call'
E, [2020-05-25T16:04:35.102005 #14527] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.4.0/benchmark.rb:293:in `measure'
E, [2020-05-25T16:04:35.102018 #14527] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/command/action.rb:34:in `call'
E, [2020-05-25T16:04:35.102031 #14527] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/cli.rb:53:in `perform'
E, [2020-05-25T16:04:35.102044 #14527] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/cli.rb:187:in `block (2 levels) in <class:CLI>'
E, [2020-05-25T16:04:35.102057 #14527] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2020-05-25T16:04:35.102070 #14527] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2020-05-25T16:04:35.102083 #14527] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/cli.rb:334:in `invoke_task'
E, [2020-05-25T16:04:35.102096 #14527] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2020-05-25T16:04:35.102109 #14527] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2020-05-25T16:04:35.102124 #14527] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/bin/kitchen:13:in `block in <top (required)>'
E, [2020-05-25T16:04:35.102180 #14527] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2020-05-25T16:04:35.102197 #14527] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.4.0/gems/test-kitchen-1.16.0/bin/kitchen:13:in `<top (required)>'
E, [2020-05-25T16:04:35.102210 #14527] ERROR -- Kitchen: /usr/bin/kitchen:264:in `load'
E, [2020-05-25T16:04:35.102223 #14527] ERROR -- Kitchen: /usr/bin/kitchen:264:in `<main>'
E, [2020-05-25T16:04:35.102242 #14527] ERROR -- Kitchen: ----End Backtrace-----
